seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
4,8,16,8,8,8,8,2.157161754422227e-15,11.869688226751297,11.869688226751295,11.869688226761802,-1.7763568394002505e-15,-1.0505374348213081e-11
4,8,24,8,8,8,8,2.157161754422227e-15,11.869688226751297,11.869688226751295,11.869688226761802,-1.7763568394002505e-15,-1.0505374348213081e-11
4,16,2,16,2,2,2,5.529926699705716e-16,230.41776236900984,230.41776236900984,6.343492477536449,0.0,224.0742698914734
4,16,4,16,4,4,4,6.367132234388344e-16,120.92387385391005,120.92387385391004,6.343492477536449,-1.4210854715202004e-14,114.58038137637361
4,16,8,16,8,8,8,1.3538192384304172e-15,35.200853094045996,35.200853094045996,6.343492477536449,0.0,28.857360616509546
4,16,16,16,16,16,16,1.3090987681820372e-15,6.343492477546686,6.343492477546688,6.343492477536449,1.7763568394002505e-15,1.0237144465463643e-11
4,16,24,16,16,16,16,1.3090987681820372e-15,6.343492477546686,6.343492477546688,6.343492477536449,1.7763568394002505e-15,1.0237144465463643e-11
4,24,2,24,2,2,2,6.00099976897649e-16,155.66546728153585,155.66546728153585,4.2570858099879505,0.0,151.4083814715479
4,24,4,24,4,4,4,7.280154657214654e-16,81.81323496519097,81.81323496519097,4.2570858099879505,0.0,77.55614915520302
4,24,8,24,8,8,8,4.060253386955082e-15,24.921484621427833,24.921484621427833,4.2570858099879505,0.0,20.66439881143988
4,24,16,24,16,16,16,2.757557152782488e-15,5.645553874883475,5.645553874883475,4.2570858099879505,0.0,1.388468064895524
4,24,24,24,24,24,24,1.4719696185616522e-15,4.257085809983379,4.25708580998338,4.2570858099879505,8.881784197001252e-16,-4.5714543261965446e-12
4,32,2,24,2,2,2,9.36241409104228e-16,157.08332811748298,157.08332811748298,4.257376255497435,0.0,152.82595186198554
4,32,4,24,4,4,4,1.102575003231237e-15,82.35252719336634,82.35252719336634,4.257376255497435,0.0,78.09515093786891
